Datetime,mem
56:54.2,4908
57:24.2,4907
57:54.2,4908
58:24.2,4907
58:54.2,4909
59:24.2,4909
59:54.2,4908
00:24.2,4909
00:54.2,4909
01:24.2,4909
01:54.2,4910
02:24.2,4909
02:54.3,4909
03:24.2,4908
03:54.3,4909
04:24.2,4908
04:54.3,4908
05:24.2,4908
05:54.3,4909
06:24.2,4910
06:54.3,4909
07:24.2,4908
07:54.3,4908
08:24.2,4908
08:54.3,4908
09:24.2,4908
09:54.3,4908
10:24.2,4908
10:54.3,4908
11:24.2,4908
11:54.3,4905
12:24.2,4907
12:54.3,4905
13:24.3,4907
13:54.3,4905
14:24.2,4909
14:54.3,4904
15:24.2,4909
15:54.3,4909
16:24.3,4909
16:54.3,4909
17:24.3,4909
17:54.3,4908
18:24.3,4908
18:54.3,4907
19:24.3,4908
19:54.3,4907
20:24.3,4908
20:54.3,4908
21:24.3,4908
21:54.3,4908
22:24.3,4907
22:54.3,4907
23:24.3,4908
23:54.3,4908
24:24.3,4908
24:54.3,4908
25:24.3,4908
25:54.3,4907
26:24.3,4907
26:54.3,4908
27:24.3,4907
27:54.3,4908
28:24.3,4908
28:54.3,4908
29:24.3,4908
29:54.3,4908
30:24.3,4908
30:54.3,4908
31:24.3,4907
31:54.3,4907
32:24.3,4906
32:54.3,4907
33:24.3,4906
33:54.3,4907
34:24.3,4906
34:54.3,4907
35:24.3,4906
35:54.3,4906
36:24.3,4906
36:54.3,4906
37:24.3,4907
37:54.3,4907
38:24.3,4906
38:54.3,4906
39:24.3,4906
39:54.3,4906
40:24.3,4907
40:54.3,4906
41:24.3,4907
41:54.3,4907
42:24.3,4907
42:54.3,4907
43:24.3,4907
43:54.3,4907
44:24.3,4907
44:54.3,4906
45:24.3,4906
45:54.3,4906
46:24.3,4905
46:54.3,4905
47:24.3,4905
47:54.3,4906
48:24.3,4905
48:54.3,4905
49:24.3,4905
49:54.3,4905
50:24.3,4905
50:54.3,4905
51:24.3,4906
51:54.3,4906
52:24.3,4905
52:54.3,4905
53:24.3,4903
53:54.3,4906
54:24.3,4904
54:54.3,4906
55:24.3,4902
55:54.3,4905
56:24.3,4903
56:54.3,4906
57:24.3,4907
57:54.3,4906
58:24.3,4907
58:54.3,4907
59:24.3,4906
59:54.3,4906
00:24.3,4905
00:54.3,4906
01:24.3,4906
01:54.3,4906
02:24.3,4906
02:54.3,4906
03:24.3,4906
03:54.3,4906
04:24.3,4905
04:54.3,4906
05:24.3,4906
05:54.3,4906
06:24.3,4905
06:54.3,4906
07:24.4,4906
07:54.3,4906
08:24.4,4906
08:54.3,4906
09:24.4,4906
09:54.3,4906
10:24.4,4905
10:54.3,4904
11:24.4,4904
11:54.3,4905
12:24.4,4905
12:54.3,4906
13:24.4,4905
13:54.3,4905
14:24.4,4905
14:54.3,4905
15:24.4,4905
